ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
33;J;j'aime beaucoup;lisse;6;33_J;33_j'aime beaucoup
34;A;j'aime un peu;trame juste bien structuree;6;34_A;34_j'aime un peu
34;B;j'aime beaucoup;vraiment agreable toucher;8;34_B;34_j'aime beaucoup
34;C;j'aime un peu;trame juste bien equilibree douce;6;34_C;34_j'aime un peu
34;D;j'aime un peu;tissus juste bien doux;5;34_D;34_j'aime un peu
34;E;j'aime beaucoup;tissus vraiment doux;8;34_E;34_j'aime beaucoup
34;F;j'aime un peu;tissus juste bien trame fin;6;34_F;34_j'aime un peu
34;G;je n'aime pas;trop mou;3;34_G;34_je n'aime pas
34;H;je n'aime pas;trop collant;0;34_H;34_je n'aime pas
34;I;je n'aime pas;trop synthetique;3;34_I;34_je n'aime pas
34;J;j'aime un peu;tissus juste bien enduit;6;34_J;34_j'aime un peu
35;A;j'aime un peu;j' aime peu tissu bien qu' peu trop fin;6;35_A;35_j'aime un peu
35;B;je n'aime pas;n' aime pas produit car peu trop epais;6;35_B;35_je n'aime pas
35;C;j'aime beaucoup;j' aime beaucoup car vraiment agreable toucher aspect peu feutre;9;35_C;35_j'aime beaucoup
35;D;je n'aime pas;n' aime pas produit car va attraper trop poussiere;4;35_D;35_je n'aime pas
35;E;je n'aime pas;n' aime pas produit car trouve trop doux habitacle voiture;5;35_E;35_je n'aime pas
35;F;j'aime un peu;j' aime peu tissu car juste bien niveau tissage;7;35_F;35_j'aime un peu
35;G;j'aime beaucoup;j' aime beaucoup produit car vraiment moelleux;9;35_G;35_j'aime beaucoup
35;H;j'aime beaucoup;j' aime beaucoup produit car a aspect peu cuir;9;35_H;35_j'aime beaucoup
35;I;j'aime un peu;j' aime peu tissu car juste niveau l' epaisseur j' aime bien tissage;8;35_I;35_j'aime un peu
35;J;j'aime beaucoup;j' aime beaucoup produit car vraiment elegant;10;35_J;35_j'aime beaucoup
36;A;j'aime beaucoup;juste bien touche trame discrete dicrete adaptee;7;36_A;36_j'aime beaucoup
36;B;j'aime un peu;tissu peu dense mais peut convenir;4;36_B;36_j'aime un peu
36;C;j'aime beaucoup;tres agreable j' aime beaucoup trame diagonale;7;36_C;36_j'aime beaucoup
36;D;je n'aime pas;feutre ameublement trop elabore;2;36_D;36_je n'aime pas
36;E;je n'aime pas;tissu velours habillement trop classe;3;36_E;36_je n'aime pas
36;F;j'aime un peu;juste bien trame epaisseur;6;36_F;36_j'aime un peu
36;G;je n'aime pas;tissu trop mousse isolation;1;36_G;36_je n'aime pas
36;H;j'aime beaucoup;j' aime beaucoup matiere;8;36_H;36_j'aime beaucoup
36;I;je n'aime pas;j' aime peu fibre textiles;3;36_I;36_je n'aime pas
36;J;je n'aime pas;n' aime pas tissu simili cuire desagreable touche;1;36_J;36_je n'aime pas
37;A;je n'aime pas;pas assez doux;4;37_A;37_je n'aime pas
37;B;je n'aime pas;trop reche;2;37_B;37_je n'aime pas
37;C;j'aime un peu;agreable;6;37_C;37_j'aime un peu
37;D;j'aime beaucoup;bon toucher doux;9;37_D;37_j'aime beaucoup
37;E;j'aime beaucoup;resistant doux;8;37_E;37_j'aime beaucoup
37;F;j'aime un peu;agreable;7;37_F;37_j'aime un peu
37;G;j'aime beaucoup;agreable toucher doux resistant;10;37_G;37_j'aime beaucoup
37;H;je n'aime pas;ca accroche;3;37_H;37_je n'aime pas
37;I;je n'aime pas;ca accroche;3;37_I;37_je n'aime pas
37;J;j'aime un peu;peu raide;5;37_J;37_j'aime un peu
38;A;j'aime beaucoup;j' aime beaucoup parce efficace;10;38_A;38_j'aime beaucoup
38;B;je n'aime pas;pas assez;6;38_B;38_je n'aime pas
38;C;j'aime un peu;manque praticite;8;38_C;38_j'aime un peu
38;D;je n'aime pas;trop amere;6;38_D;38_je n'aime pas
38;E;j'aime beaucoup;bien;8;38_E;38_j'aime beaucoup
38;F;j'aime beaucoup;vraiment bien;10;38_F;38_j'aime beaucoup
38;G;je n'aime pas;pas assez;4;38_G;38_je n'aime pas
38;H;je n'aime pas;pas assez;5;38_H;38_je n'aime pas
38;I;j'aime beaucoup;bien;9;38_I;38_j'aime beaucoup
38;J;j'aime un peu;juste bien menthole;7;38_J;38_j'aime un peu
39;A;j'aime un peu;tissus relativement lisse;6;39_A;39_j'aime un peu
39;B;je n'aime pas;pas assez;0;39_B;39_je n'aime pas
39;C;j'aime un peu;j' aime peu bien qu' semble peu pelucheux;5;39_C;39_j'aime un peu
39;D;je n'aime pas;pas assez joli;0;39_D;39_je n'aime pas
39;E;je n'aime pas;juste bien;5;39_E;39_je n'aime pas
